time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_p8eng,avg_p8eng,p8eng_ci_low,p8eng_ci_upp,t_p8mat,avg_p8mat,p8mat_ci_low,p8mat_ci_upp,t_p8ebac,avg_p8ebac,p8ebac_ci_low,p8ebac_ci_upp,t_p8open,avg_p8open,p8open_ci_low,p8open_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass,t_ebaceng_e,pt_ebaceng_e,t_ebacmat_e,pt_ebacmat_e,t_ebac2sci_e,pt_ebac2sci_e,t_ebachum_e,pt_ebachum_e,t_ebaclan_e,pt_ebaclan_e,t_ebaceng_95,pt_ebaceng_95,t_ebacmat_95,pt_ebacmat_95,t_ebac2sci_95,pt_ebac2sci_95,t_ebachum_95,pt_ebachum_95,t_ebaclan_95,pt_ebaclan_95,t_ebaceng_94,pt_ebaceng_94,t_ebacmat_94,pt_ebacmat_94,t_ebac2sci_94,pt_ebac2sci_94,t_ebachum_94,pt_ebachum_94,t_ebaclan_94,pt_ebaclan_94,t_ebptseng_ll,avg_ebptseng_ll,t_ebptsmat,avg_ebptsmat,t_ebptssci,avg_ebptssci,t_ebptshum,avg_ebptshum,t_ebptslan,avg_ebptslan,t_att8_eng,avg_att8_eng,t_att8_mat,avg_att8_mat,t_att8_ebac,avg_att8_ebac,t_att8_open,avg_att8_open,t_att8_open_g,avg_att8_open_g,t_att8_open_ng,avg_att8_open_ng,t_ebac_fill,avg_ebac_fill,t_open_fill,avg_open_fill
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Provisional,Alternative provision,2,14,180,12.9,10,71.4,0,0,3,21.4,0,0,0,0,0,0,7.66,0.55,14,-37.221,-2.66,-3.4,-1.92,-36.32,-2.59,-3.45,-1.74,-26.945,-1.92,-2.7,-1.14,-45.037,-3.22,-4.07,-2.36,-36.863,-2.63,-3.48,-1.78,10,71.4,9,64.3,6,42.9,10,71.4,0,0,0,0,0,0,0,0,1,7.1,0,z,0,z,0,z,4,28.6,3,21.4,0,z,0,z,0,z,20,1.43,26,1.86,0,0,0,0,0,0,48,3.4,52,3.7,21,1.5,59,4.2,43,3.1,16,1.1,6,0.4,17,1.2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Provisional,Alternative provision,2,59,709,12,38,64.4,2,3.4,6,10.2,0,0,0,0,0,0,48.83,0.83,56,-136.754,-2.44,-2.81,-2.07,-144.4,-2.58,-3.01,-2.15,-110.435,-1.97,-2.36,-1.58,-149.138,-2.66,-3.09,-2.24,-136.814,-2.44,-2.87,-2.02,38,64.4,38,64.4,31,52.5,38,64.4,31,52.5,0,0,0,0,3,5.1,3,5.1,1,3.2,0,z,0,z,6,10.2,7,11.9,4,12.9,0,z,0,z,76,1.29,87,1.47,65,1.1,0,0,0,0,172,2.9,174,2.9,130,2.2,233,3.9,133,2.3,100,1.7,56,0.9,69,1.2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Provisional,Alternative provision,2,30,169.75,5.7,17,56.7,1,3.3,1,3.3,0,0,0,0,0,0,7.82,0.26,28,-89.948,-3.21,-3.74,-2.69,-99.475,-3.55,-4.16,-2.95,-69.03,-2.47,-3.02,-1.91,-88.789,-3.17,-3.78,-2.57,-98.721,-3.53,-4.13,-2.93,18,60,18,60,0,0,18,60,1,3.3,10,33.3,0,0,0,0,1,3.3,0,0,0,0,0,z,0,0,3,10,0,0,0,0,0,z,0,0,33,1.1,3.5,0.12,7,0.23,0,0,36,1.2,66,2.2,34,1.1,33.75,1.1,21,0.7,12.75,0.4,20,0.7,18,0.6
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Provisional,Alternative provision,2,31,200.25,6.5,21,67.7,0,0,2,6.5,0,0,0,0,0,0,13.67,0.44,29,-102.46,-3.53,-4.05,-3.02,-103.48,-3.57,-4.16,-2.97,-80.85,-2.79,-3.33,-2.25,-106.458,-3.67,-4.27,-3.08,-112.185,-3.87,-4.46,-3.28,22,71,20,64.5,9,29,22,71,6,19.4,0,0,0,0,0,0,2,6.5,0,0,0,z,0,z,3,9.7,4,12.9,0,0,0,z,0,z,22,0.71,38,1.23,11,0.35,0,0,0,0,60,1.9,76,2.5,27,0.9,37.25,1.2,36,1.2,1.25,0,14,0.5,22,0.7
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Provisional,Alternative provision,2,19,89,4.7,10,52.6,0,0,0,0,0,0,0,0,0,0,7.83,0.41,17,-59.183,-3.48,-4.15,-2.81,-61.64,-3.63,-4.4,-2.85,-49.485,-2.91,-3.62,-2.2,-55.533,-3.27,-4.04,-2.49,-67.677,-3.98,-4.75,-3.21,11,57.9,10,52.6,3,15.8,10,52.6,7,36.8,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,0,0,0,0,0,0,z,0,z,6,0.32,16,0.84,12.5,0.66,0,0,0,0,26,1.4,32,1.7,25,1.3,6,0.3,6,0.3,0,0,14,0.7,3,0.2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Provisional,Alternative provision,2,21,66,3.1,12,57.1,0,0,0,0,0,0,0,0,0,0,2.84,0.14,20,-62.259,-3.11,-3.73,-2.49,-69,-3.45,-4.17,-2.73,-47.355,-2.37,-3.02,-1.72,-58.735,-2.94,-3.65,-2.22,-71.229,-3.56,-4.27,-2.85,14,66.7,13,61.9,0,0,12,57.1,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,z,0,0,1,4.8,0,z,0,z,0,z,0,0,17,0.81,0,0,0,0,0,0,16,0.8,34,1.6,15,0.7,1,0,1,0,0,0,11,0.5,1,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Provisional,Alternative provision,2,12,8,0.7,2,16.7,0,0,0,0,0,0,0,0,0,0,0.5,0.04,9,-27.08,-3.01,-3.93,-2.09,-29.865,-3.32,-4.39,-2.25,-23.475,-2.61,-3.58,-1.64,-25.614,-2.85,-3.91,-1.78,-29.096,-3.23,-4.29,-2.17,2,16.7,2,16.7,1,8.3,2,16.7,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,z,0,0,0,0,0,z,0,z,0,z,1,0.08,2,0.17,0,0,0,0,0,0,3,0.3,4,0.3,0,0,1,0.1,1,0.1,0,0,0,0,1,0.1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Provisional,Alternative provision,3,32,169.75,5.3,12,37.5,0,0,1,3.1,0,0,0,0,0,0,13.85,0.43,27,-80.036,-2.96,-3.5,-2.43,-84.54,-3.13,-3.75,-2.51,-69.145,-2.56,-3.12,-2,-75.184,-2.78,-3.4,-2.17,-89.173,-3.3,-3.91,-2.69,17,53.1,15,46.9,5,15.6,15,46.9,9,28.1,0,0,0,0,1,3.1,0,0,0,0,0,z,0,z,3,9.4,1,3.1,1,11.1,0,z,0,z,19,0.59,22,0.69,21,0.66,0,0,0,0,49,1.5,44,1.4,44,1.4,32.75,1,27,0.8,5.75,0.2,19,0.6,11,0.3
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Provisional,Alternative provision,2,36,141,3.9,13,36.1,0,0,0,0,0,0,0,0,0,0,6.19,0.17,31,-103.519,-3.34,-3.84,-2.84,-118.9,-3.84,-4.41,-3.26,-76.255,-2.46,-2.98,-1.94,-102.742,-3.31,-3.89,-2.74,-112.213,-3.62,-4.19,-3.05,19,52.8,16,44.4,0,0,17,47.2,0,0,0,0,0,0,0,0,1,2.8,0,z,0,z,0,z,0,0,5,13.9,0,z,0,z,0,z,0,0,37,1.03,0,0,0,0,0,0,22,0.6,74,2.1,19,0.5,26,0.7,26,0.7,0,0,9,0.3,11,0.3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Provisional,Alternative provision,5,124,991.25,8,46,37.1,1,0.8,3,2.4,0,0,0,0,0,0,49.67,0.4,100,-265.368,-2.65,-2.93,-2.38,-262.055,-2.62,-2.94,-2.3,-265.08,-2.65,-2.94,-2.36,-286.891,-2.87,-3.19,-2.55,-246.287,-2.46,-2.78,-2.15,98,79,94,75.8,47,37.9,56,45.2,9,7.3,33,26.6,4,3.2,3,2.4,3,2.4,0,0,0,0,4,100,3,2.4,8,6.5,0,0,1,3,4,100,101,0.81,94,0.76,16.5,0.13,43,0.35,27,0.22,272,2.2,188,1.5,155,1.3,376.25,3,352,2.8,24.25,0.2,78,0.6,148,1.2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Provisional,Alternative provision,2,58,238.75,4.1,24,41.4,0,0,1,1.7,0,0,0,0,0,0,10.19,0.18,52,-140.715,-2.71,-3.09,-2.32,-155.405,-2.99,-3.43,-2.54,-107.805,-2.07,-2.48,-1.67,-137.908,-2.65,-3.1,-2.21,-155.664,-2.99,-3.43,-2.55,25,43.1,25,43.1,2,3.4,25,43.1,2,3.4,2,3.4,0,0,0,0,1,1.7,0,0,1,50,0,z,1,1.7,2,3.4,0,0,1,50,0,z,4,0.07,43,0.74,4,0.07,6,0.1,0,0,59,1,86,1.5,39,0.7,54.75,0.9,49,0.8,5.75,0.1,19,0.3,19,0.3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Provisional,Alternative provision,2,30,110.5,3.7,14,46.7,0,0,2,6.7,0,0,0,0,0,0,7.32,0.24,27,-75.059,-2.78,-3.31,-2.25,-79.26,-2.94,-3.55,-2.32,-54.45,-2.02,-2.58,-1.46,-72.283,-2.68,-3.29,-2.06,-88.781,-3.29,-3.9,-2.68,15,50,13,43.3,0,0,15,50,4,13.3,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,0,2,6.7,0,0,0,z,0,z,0,0,25,0.83,9.5,0.32,0,0,0,0,36,1.2,50,1.7,19,0.6,5.5,0.2,0,0,5.5,0.2,8,0.3,1,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Provisional,Alternative provision,2,14,98,7,3,21.4,0,0,1,7.1,0,0,0,0,0,0,7.34,0.52,10,-25.372,-2.54,-3.41,-1.66,-24.1,-2.41,-3.42,-1.4,-21.11,-2.11,-3.03,-1.19,-26.921,-2.69,-3.7,-1.68,-27.496,-2.75,-3.75,-1.74,4,28.6,4,28.6,3,21.4,4,28.6,3,21.4,0,0,0,0,2,14.3,0,0,0,0,0,z,0,z,3,21.4,1,7.1,1,33.3,0,z,0,z,15,1.07,12,0.86,8.5,0.61,0,0,0,0,30,2.1,24,1.7,17,1.2,27,1.9,27,1.9,0,0,6,0.4,7,0.5
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Provisional,Alternative provision,2,44,376.5,8.6,29,65.9,1,2.3,2,4.5,1,2.3,0,0,0,0,21.04,0.48,39,-76.431,-1.96,-2.4,-1.52,-82.83,-2.12,-2.64,-1.61,-43.71,-1.12,-1.59,-0.65,-82.652,-2.12,-2.63,-1.61,-87.788,-2.25,-2.76,-1.74,32,72.7,31,70.5,8,18.2,31,70.5,1,2.3,10,22.7,1,2.3,1,2.3,2,4.5,1,100,1,10,0,0,5,11.4,6,13.6,1,100,1,10,0,0,29,0.66,60,1.36,5,0.11,25,0.57,2,0.05,94,2.1,120,2.7,60,1.4,102.5,2.3,79,1.8,23.5,0.5,21,0.5,45,1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Provisional,Alternative provision,3,34,217.75,6.4,23,67.6,0,0,0,0,0,0,0,0,0,0,17.17,0.51,29,-69.864,-2.41,-2.92,-1.89,-71.48,-2.46,-3.06,-1.87,-54.015,-1.86,-2.4,-1.32,-67.29,-2.32,-2.91,-1.73,-81.944,-2.83,-3.42,-2.24,26,76.5,20,58.8,15,44.1,24,70.6,17,50,0,0,0,0,0,0,0,0,0,0,0,z,0,z,2,5.9,1,2.9,1,5.9,0,z,0,z,31,0.91,31,0.91,20.5,0.6,0,0,0,0,69,2,62,1.8,46,1.4,40.75,1.2,20,0.6,20.75,0.6,23,0.7,21,0.6
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Provisional,Alternative provision,2,17,46,2.7,2,11.8,0,0,0,0,0,0,0,0,0,0,2.16,0.13,16,-46.063,-2.88,-3.57,-2.19,-54.63,-3.41,-4.22,-2.61,-33.51,-2.09,-2.82,-1.36,-43.786,-2.74,-3.54,-1.94,-50.999,-3.19,-3.98,-2.39,3,17.6,3,17.6,0,0,3,17.6,0,0,0,0,0,0,0,0,2,11.8,0,z,0,z,0,z,0,0,2,11.8,0,z,0,z,0,z,0,0,13,0.76,0,0,0,0,0,0,5,0.3,26,1.5,8,0.5,7,0.4,3,0.2,4,0.2,2,0.1,2,0.1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Provisional,Alternative provision,1,6,22,3.7,1,16.7,0,0,0,0,0,0,0,0,0,0,2.34,0.39,4,-10.611,-2.65,-4.04,-1.27,-12.93,-3.23,-4.84,-1.63,-6.755,-1.69,-3.15,-0.23,-8.754,-2.19,-3.79,-0.59,-13.49,-3.37,-4.96,-1.78,2,33.3,2,33.3,0,0,2,33.3,1,16.7,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,0,1,16.7,1,100,0,z,0,z,0,0,5,0.83,4.5,0.75,0,0,0,0,3,0.5,10,1.7,9,1.5,0,0,0,0,0,0,2,0.3,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Provisional,Alternative provision,5,76,403.5,5.3,33,43.4,1,1.3,1,1.3,0,0,0,0,0,0,26.36,0.35,66,-185.545,-2.81,-3.15,-2.47,-198.56,-3.01,-3.4,-2.61,-136.43,-2.07,-2.43,-1.71,-190.771,-2.89,-3.28,-2.5,-204.397,-3.1,-3.49,-2.71,40,52.6,40,52.6,10,13.2,37,48.7,7,9.2,3,3.9,1,1.3,1,1.3,1,1.3,1,14.3,0,0,1,100,2,2.6,2,2.6,1,14.3,0,0,1,100,30,0.39,77,1.01,21.5,0.28,3,0.04,5,0.07,110,1.4,154,2,56,0.7,83.5,1.1,61,0.8,22.5,0.3,19,0.3,37,0.5
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Provisional,Alternative provision,2,35,122,3.5,12,34.3,0,0,0,0,0,0,0,0,0,0,4.17,0.12,31,-99.313,-3.2,-3.7,-2.71,-103.71,-3.35,-3.92,-2.77,-81.35,-2.62,-3.15,-2.1,-103.686,-3.34,-3.92,-2.77,-104.009,-3.36,-3.93,-2.78,18,51.4,16,45.7,0,0,15,42.9,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,z,0,0,2,5.7,0,z,0,z,0,z,0,0,25,0.71,0,0,0,0,0,0,40,1.1,50,1.4,0,0,32,0.9,32,0.9,0,0,0,0,8,0.2
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Provisional,Alternative provision,3,35,157,4.5,17,48.6,0,0,0,0,0,0,0,0,0,0,10.01,0.29,31,-101.708,-3.28,-3.78,-2.78,-112.895,-3.64,-4.22,-3.07,-92.72,-2.99,-3.52,-2.47,-96.613,-3.12,-3.69,-2.54,-105.343,-3.4,-3.97,-2.83,19,54.3,17,48.6,4,11.4,19,54.3,14,40,3,8.6,0,0,1,2.9,0,0,0,0,0,0,0,z,1,2.9,0,0,0,0,0,0,0,z,12,0.34,19,0.54,13.5,0.39,2,0.06,0,0,36,1,38,1.1,36,1,47,1.3,47,1.3,0,0,23,0.7,27,0.8
