time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,breakdown,gender,ethnicity_major,ethnicity_minor,free_school_meals,sen_status,primary_need,all_primary_need,sen_description,disadvantage,first_language,admission_type,religious_denomination,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Total,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2450,238905,10830912.09,45.3,234047,98,106075,44.4,153959,64.4,88017,36.8,34296,14.4,50224,21,954163.22,3.99,223855,-26612.591,-0.12,-0.12,-0.11
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in highly selective areas,Total,170,16365,658258.01,40.2,15972,97.6,5304,32.4,9094,55.6,4293,26.2,1056,6.5,1908,11.7,56101.66,3.43,15332,-4620.63,-0.3,-0.32,-0.28
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in other areas,Total,2189,211073,9355763.05,44.3,206634,97.9,90025,42.7,133583,63.3,75062,35.6,26882,12.7,40848,19.4,821339.25,3.89,198068,-28054.52,-0.14,-0.15,-0.14
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Total,selective schools,Total,91,11467,816891.03,71.2,11441,99.8,10746,93.7,11282,98.4,8662,75.5,6358,55.4,7468,65.1,76722.31,6.69,10455,6062.559,0.58,0.55,0.61
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Unclassified EAL,Total,Total,492,1291,55407,42.9,1251,96.9,536,41.5,777,60.2,473,36.6,176,13.6,234,18.1,4869.48,3.77,1080,-201.081,-0.19,-0.27,-0.1
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Boys,Unclassified,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1408,4730,204980.64,43.3,4590,97,1955,41.3,2830,59.8,1755,37.1,651,13.8,923,19.5,18189.07,3.85,4092,-760.517,-0.19,-0.23,-0.14
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Boys,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2441,172582,7636508.22,44.2,168909,97.9,72826,42.2,108734,63,57531,33.3,22174,12.8,33128,19.2,668265.65,3.87,166221,-37431.061,-0.23,-0.23,-0.22
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Girls,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1931,27145,1533904.26,56.5,26954,99.3,16841,62,21215,78.2,16488,60.7,8823,32.5,11496,42.4,138904.01,5.12,23931,17678.274,0.74,0.72,0.76
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Girls,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1705,13972,709939.5,50.8,13863,99.2,7083,50.7,9780,70,7809,55.9,3193,22.9,4610,33,63336.45,4.53,12041,5897.965,0.49,0.46,0.52
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Girls,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2296,13876,687334.63,49.5,13599,98,6593,47.5,9361,67.5,6651,47.9,3089,22.3,4274,30.8,60549.58,4.36,12849,1459.952,0.11,0.09,0.14
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Girls,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1319,4632,233827.25,50.5,4517,97.5,2361,51,3160,68.2,2771,59.8,1232,26.6,1734,37.4,21415.71,4.62,3567,2688.289,0.75,0.71,0.8
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Free school meals,Girls,Total,Total,FSM,Total,Total,Total,Total,Total,Total,Total,Total,2473,51861,1958836.26,37.8,49620,95.7,13818,26.6,23933,46.1,16747,32.3,4736,9.1,7673,14.8,165368.57,3.19,48696,-20542.897,-0.42,-0.43,-0.41
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Free school meals,Girls,Total,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,2481,180133,9452132.07,52.5,178015,98.8,97465,54.1,134374,74.6,87930,48.8,43644,24.2,60093,33.4,833174.23,4.63,169560,51987.017,0.31,0.3,0.31
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Girls,Total,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,Total,2480,204557,10503262.68,51.3,202095,98.8,105633,51.6,148482,72.6,99183,48.5,46783,22.9,65306,31.9,924586.4,4.52,191992,42652.127,0.22,0.22,0.23
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Girls,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,Total,1614,3288,74009.75,22.5,2609,79.3,358,10.9,661,20.1,246,7.5,60,1.8,98,3,5750.96,1.75,3052,-2445.688,-0.8,-0.85,-0.75
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Girls,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,Total,2441,24121,832766.15,34.5,22905,95,5281,21.9,9147,37.9,5245,21.7,1536,6.4,2361,9.8,68120.94,2.82,23198,-8737.617,-0.38,-0.39,-0.36
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN description,Girls,Total,Total,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,2465,27409,906775.9,33.1,25514,93.1,5639,20.6,9808,35.8,5491,20,1596,5.8,2459,9,73871.9,2.7,26250,-11183.305,-0.43,-0.44,-0.41
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN description,Girls,Total,Total,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,2480,204557,10503262.68,51.3,202095,98.8,105633,51.6,148482,72.6,99183,48.5,46783,22.9,65306,31.9,924586.4,4.52,191992,42652.127,0.22,0.22,0.23
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Disadvantage,Girls,Total,Total,Total,Total,Total,Total,Total,Disadvantaged,Total,Total,Total,2476,60007,2283672.51,38.1,57428,95.7,16212,27,28030,46.7,19692,32.8,5632,9.4,9116,15.2,193040.92,3.22,56573,-22843.284,-0.4,-0.42,-0.39
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Disadvantage,Girls,Total,Total,Total,Total,Total,Total,Total,Disadvantaged all other,Total,Total,Total,2481,171987,9127295.82,53.1,170207,99,95071,55.3,130277,75.7,84985,49.4,42748,24.9,58650,34.1,805501.88,4.68,161683,54287.404,0.34,0.33,0.34
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2479,191201,9305876.81,48.7,187515,98.1,90048,47.1,129822,67.9,80992,42.4,37434,19.6,52714,27.6,807413.42,4.22,185397,8023.272,0.04,0.04,0.05
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Other than English,Total,Total,2333,39675,2052767.52,51.7,39045,98.4,20724,52.2,27768,70,23177,58.4,10728,27,14727,37.1,186503.28,4.7,31936,23367.976,0.73,0.72,0.75
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Total,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2481,231994,11410968.33,49.2,227635,98.1,111283,48,158307,68.2,104677,45.1,48380,20.9,67766,29.2,998542.8,4.3,218256,31444.12,0.14,0.14,0.15
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in highly selective areas,Total,175,16223,713864.5,44,15883,97.9,5844,36,9797,60.4,5554,34.2,1763,10.9,2978,18.4,59981.98,3.7,15346,-589.426,-0.04,-0.06,-0.02
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in other areas,Total,2213,204021,9843636.94,48.2,200034,98,94441,46.3,136909,67.1,90000,44.1,39188,19.2,56389,27.6,858363.8,4.21,192168,24680.835,0.13,0.12,0.13
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Total,selective schools,Total,93,11750,853466.89,72.6,11718,99.7,10998,93.6,11601,98.7,9123,77.6,7429,63.2,8399,71.5,80197.02,6.83,10742,7352.711,0.68,0.66,0.71
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Unclassified EAL,Total,Total,492,1118,52324,46.8,1075,96.2,511,45.7,717,64.1,508,45.4,218,19.5,325,29.1,4626.1,4.14,923,52.872,0.06,-0.03,0.15
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Girls,Unclassified,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1394,4260,203909.5,47.9,4146,97.3,1915,45,2764,64.9,1911,44.9,838,19.7,1195,28.1,17988.14,4.22,3685,420.38,0.11,0.07,0.16
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Girls,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2471,168109,8042053.19,47.8,164556,97.9,76490,45.5,112027,66.6,69047,41.1,31205,18.6,44457,26.4,696348.91,4.14,162183,3299.26,0.02,0.01,0.03
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Total,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2299,55687,3028191.61,54.4,55169,99.1,33480,60.1,42540,76.4,30925,55.5,15330,27.5,20256,36.4,273542.78,4.91,48794,28407.253,0.58,0.57,0.59
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Total,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2086,27717,1322730.25,47.7,27422,98.9,12948,46.7,18445,66.5,13856,50,4877,17.6,7326,26.4,117372.29,4.23,23846,6684.619,0.28,0.26,0.3
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Total,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2537,28014,1336275.01,47.7,27437,97.9,13050,46.6,18534,66.2,12348,44.1,5364,19.1,7528,26.9,118149.04,4.22,25890,-144.798,-0.01,-0.02,0.01
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Total,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1814,9800,467232,47.7,9453,96.5,4694,47.9,6392,65.2,5321,54.3,2237,22.8,3177,32.4,42850.14,4.37,7400,4356.393,0.59,0.56,0.62
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Free school meals,Total,Total,Total,FSM,Total,Total,Total,Total,Total,Total,Total,Total,2598,103920,3746229.65,36,99151,95.4,26624,25.6,46093,44.4,30159,29,7792,7.5,12779,12.3,318785.91,3.07,97159,-52334.352,-0.54,-0.55,-0.53
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Free school meals,Total,Total,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,2601,366979,18495650.77,50.4,362531,98.8,190734,52,266173,72.5,162535,44.3,74884,20.4,105211,28.7,1633920.11,4.45,344952,57165.881,0.17,0.16,0.17
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Total,Total,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,Total,2600,402517,20070823.26,49.9,397605,98.8,204195,50.7,288801,71.7,180597,44.9,79515,19.8,112989,28.1,1772842.64,4.4,376755,36403.72,0.1,0.09,0.1
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Total,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,Total,2386,10808,266059,24.6,9135,84.5,1377,12.7,2544,23.5,917,8.5,248,2.3,402,3.7,21593.8,2,10039,-6369.421,-0.63,-0.66,-0.61
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Total,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,Total,2595,57510,1902747.91,33.1,54881,95.4,11764,20.5,20885,36.3,11172,19.4,2909,5.1,4595,8,158062.43,2.75,55281,-25156.11,-0.46,-0.47,-0.44
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN description,Total,Total,Total,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,2600,68318,2168806.91,31.7,64016,93.7,13141,19.2,23429,34.3,12089,17.7,3157,4.6,4997,7.3,179656.23,2.63,65320,-31525.531,-0.48,-0.49,-0.47
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN description,Total,Total,Total,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,2600,402517,20070823.26,49.9,397605,98.8,204195,50.7,288801,71.7,180597,44.9,79515,19.8,112989,28.1,1772842.64,4.4,376755,36403.72,0.1,0.09,0.1
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Disadvantage,Total,Total,Total,Total,Total,Total,Total,Total,Disadvantaged,Total,Total,Total,2600,120354,4369270.78,36.3,114813,95.4,31275,26,53999,44.9,35386,29.4,9283,7.7,15172,12.6,372141.24,3.09,112867,-59000.645,-0.52,-0.53,-0.51
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Disadvantage,Total,Total,Total,Total,Total,Total,Total,Total,Disadvantaged all other,Total,Total,Total,2600,350545,17872609.64,51,346869,99,186083,53.1,258267,73.7,157308,44.9,73393,20.9,102818,29.3,1580564.78,4.51,329244,63832.174,0.19,0.19,0.2
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Total,Total,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2601,387044,18120484.59,46.8,379551,98.1,175815,45.4,255716,66.1,148261,38.3,63691,16.5,91450,23.6,1578440.85,4.08,375065,-31559.139,-0.08,-0.09,-0.08
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Total,Total,Total,Total,Total,Total,Total,Total,Total,Other than English,Total,Total,2551,81446,4013664.83,49.3,79805,98,40496,49.7,55056,67.6,43452,53.4,18591,22.8,25981,31.9,364769.59,4.48,65043,36538.877,0.56,0.55,0.57
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2601,470899,22241880.42,47.2,461682,98,217358,46.2,312266,66.3,192694,40.9,82676,17.6,117990,25.1,1952706.02,4.15,442111,4831.529,0.01,0.01,0.02
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in highly selective areas,Total,183,32588,1372122.51,42.1,31855,97.8,11148,34.2,18891,58,9847,30.2,2819,8.7,4886,15,116083.64,3.56,30678,-5210.056,-0.17,-0.19,-0.15
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in other areas,Total,2275,415094,19199399.99,46.3,406668,98,184466,44.4,270492,65.2,165062,39.8,66070,15.9,97237,23.4,1679703.05,4.05,390236,-3373.685,-0.01,-0.01,0
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Admission type,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,selective schools,Total,143,23217,1670357.92,71.9,23159,99.8,21744,93.7,22883,98.6,17785,76.6,13787,59.4,15867,68.3,156919.33,6.76,21197,13415.27,0.63,0.61,0.65
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Total,Total,Total,Total,Total,Total,Total,Total,Total,Unclassified EAL,Total,Total,730,2409,107731,44.7,2326,96.6,1047,43.5,1494,62,981,40.7,394,16.4,559,23.2,9495.58,3.94,2003,-148.209,-0.07,-0.14,-0.01
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Total,Unclassified,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1863,8990,408890.14,45.5,8736,97.2,3870,43,5594,62.2,3666,40.8,1489,16.6,2118,23.6,36177.21,4.02,7777,-340.137,-0.04,-0.08,-0.01
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Total,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2591,340691,15678561.41,46,333465,97.9,149316,43.8,220761,64.8,126578,37.2,53379,15.7,77585,22.8,1364614.56,4.01,328404,-34131.801,-0.1,-0.11,-0.1
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Any other Asian background,FSM,Total,Total,Total,Total,Total,Total,Total,Total,805,1398,58538.5,41.9,1304,93.3,583,41.7,815,58.3,546,39.1,187,13.4,278,19.9,5242.09,3.75,1092,327.741,0.3,0.22,0.38
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Any other Asian background,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,1608,5023,272252.76,54.2,4818,95.9,3211,63.9,3924,78.1,2512,50,1304,26,1718,34.2,24707.49,4.92,4253,2527.148,0.59,0.55,0.64
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnic major,Boys,Asian,Any other Asian background,Total,Total,Total,Total,Total,Total,Total,Total,Total,1816,6421,330791.26,51.5,6122,95.3,3794,59.1,4739,73.8,3058,47.6,1491,23.2,1996,31.1,29949.58,4.66,5345,2854.889,0.53,0.5,0.57
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Bangladeshi,FSM,Total,Total,Total,Total,Total,Total,Total,Total,539,1960,89647.5,45.7,1870,95.4,962,49.1,1307,66.7,917,46.8,282,14.4,425,21.7,7892.85,4.03,1801,244.579,0.14,0.07,0.2
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Bangladeshi,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,921,3637,189385.5,52.1,3536,97.2,2176,59.8,2788,76.7,1823,50.1,776,21.3,1097,30.2,16944.46,4.66,3383,1619.027,0.48,0.43,0.53
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnic major,Boys,Asian,Bangladeshi,Total,Total,Total,Total,Total,Total,Total,Total,Total,1071,5597,279033,49.9,5406,96.6,3138,56.1,4095,73.2,2740,49,1058,18.9,1522,27.2,24837.31,4.44,5184,1863.606,0.36,0.32,0.4
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Chinese,FSM,Total,Total,Total,Total,Total,Total,Total,Total,107,119,7062,59.3,114,95.8,88,73.9,98,82.4,63,52.9,42,35.3,51,42.9,654,5.5,104,85.188,0.82,0.55,1.09
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Chinese,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,909,1610,102661.76,63.8,1575,97.8,1210,75.2,1377,85.5,965,59.9,656,40.7,782,48.6,9705.06,6.03,975,930.432,0.95,0.87,1.04
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnic major,Boys,Asian,Chinese,Total,Total,Total,Total,Total,Total,Total,Total,Total,962,1729,109723.76,63.5,1689,97.7,1298,75.1,1475,85.3,1028,59.5,698,40.4,833,48.2,10359.06,5.99,1079,1015.62,0.94,0.86,1.03
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Indian,FSM,Total,Total,Total,Total,Total,Total,Total,Total,436,863,39996.38,46.3,829,96.1,402,46.6,575,66.6,381,44.1,133,15.4,198,22.9,3545.25,4.11,780,204.386,0.26,0.16,0.36
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Indian,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,1646,9225,538241.33,58.3,9043,98,6456,70,7653,83,5152,55.8,2887,31.3,3630,39.3,49091.43,5.32,7869,5833.965,0.74,0.71,0.77
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnic major,Boys,Asian,Indian,Total,Total,Total,Total,Total,Total,Total,Total,Total,1699,10088,578237.71,57.3,9872,97.9,6858,68,8228,81.6,5533,54.8,3020,29.9,3828,37.9,52636.68,5.22,8649,6038.351,0.7,0.67,0.73
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Pakistani,FSM,Total,Total,Total,Total,Total,Total,Total,Total,902,3819,149932.88,39.3,3637,95.2,1292,33.8,2024,53,1314,34.4,328,8.6,505,13.2,12901.09,3.38,3500,-665.412,-0.19,-0.24,-0.14
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Pakistani,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,1395,10130,471647.64,46.6,9861,97.3,4866,48,6853,67.7,4243,41.9,1388,13.7,2125,21,41479.08,4.09,9241,1231.375,0.13,0.1,0.16
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnic major,Boys,Asian,Pakistani,Total,Total,Total,Total,Total,Total,Total,Total,Total,1543,13949,621580.52,44.6,13498,96.8,6158,44.1,8877,63.6,5557,39.8,1716,12.3,2630,18.9,54380.17,3.9,12741,565.963,0.04,0.02,0.07
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Total,FSM,Total,Total,Total,Total,Total,Total,Total,Total,1558,8159,345177.26,42.3,7754,95,3327,40.8,4819,59.1,3221,39.5,972,11.9,1457,17.9,30235.28,3.71,7277,196.482,0.03,-0.01,0.06
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Free school meals,Boys,Asian,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,2643,29625,1574188.99,53.1,28833,97.3,17919,60.5,22595,76.3,14695,49.6,7011,23.7,9352,31.6,141927.52,4.79,25721,12141.947,0.47,0.45,0.49
