time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,idaci_decile,ru11ind_pupil_residency,pupil_residency_detail,level_methodology,establishment_type,version,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,60-70%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3503,51433,2532153.17,49.2,49936,97.1,26071,50.7,36592,71.1,20903,40.6,222780.47,4.33,9842,19.1,13686,26.6,48847,4534.269,0.09,0.08,0.11
202223,Academic year,National,E92000001,England,,,60-70%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3225,37308,1856988.42,49.8,36221,97.1,19359,51.9,26796,71.8,15906,42.6,163911.1,4.39,7572,20.3,10475,28.1,35295,4029.465,0.11,0.1,0.13
202223,Academic year,National,E92000001,England,,,70-80%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1618,14154,701558,49.6,13734,97,7266,51.3,10297,72.7,5580,39.4,61757.18,4.36,2690,19,3750,26.5,13585,1949.845,0.14,0.12,0.17
202223,Academic year,National,E92000001,England,,,70-80%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3335,51176,2600898.46,50.8,49775,97.3,27689,54.1,38039,74.3,22038,43.1,230192.29,4.5,10871,21.2,15052,29.4,48758,8069.887,0.17,0.15,0.18
202223,Academic year,National,E92000001,England,,,70-80%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3057,37022,1899340.46,51.3,36041,97.4,20423,55.2,27742,74.9,16458,44.5,168435.11,4.55,8181,22.1,11302,30.5,35173,6120.042,0.17,0.16,0.19
202223,Academic year,National,E92000001,England,,,80-90%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1601,14457,738338.13,51.1,14086,97.4,7911,54.7,10865,75.2,5843,40.4,65019.62,4.5,2980,20.6,4097,28.3,13871,2724.611,0.2,0.17,0.22
202223,Academic year,National,E92000001,England,,,80-90%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3125,50479,2652598.92,52.5,49285,97.6,29021,57.5,39068,77.4,22530,44.6,235360.4,4.66,11746,23.3,15998,31.7,48096,11589.289,0.24,0.23,0.25
202223,Academic year,National,E92000001,England,,,80-90%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,2855,36022,1914260.79,53.1,35199,97.7,21110,58.6,28203,78.3,16687,46.3,170340.78,4.73,8766,24.3,11901,33,34225,8864.678,0.26,0.24,0.27
202223,Academic year,National,E92000001,England,,,90-100%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1284,11246,599001.02,53.3,10990,97.7,6636,59,8811,78.3,4978,44.3,53435.4,4.75,2786,24.8,3743,33.3,10660,3263.625,0.31,0.28,0.33
202223,Academic year,National,E92000001,England,,,90-100%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,2679,49804,2775992.97,55.7,48766,97.9,31915,64.1,40804,81.9,24647,49.5,249498,5.01,14323,28.8,18742,37.6,46832,18165.135,0.39,0.38,0.4
202223,Academic year,National,E92000001,England,,,90-100%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,2437,38558,2176991.95,56.5,37776,98,25279,65.6,31993,83,19669,51,196062.6,5.08,11537,29.9,14999,38.9,36172,14901.51,0.41,0.4,0.43
202223,Academic year,National,E92000001,England,,,Total,Rural,4 Rural - Town and fringe,Pupil residency,State-funded schools (LA),Provisional,2517,51825,2412803.27,46.6,50112,96.7,23500,45.3,34605,66.8,18094,34.9,209891.22,4.05,8159,15.7,11669,22.5,50027,-1516.302,-0.03,-0.04,-0.02
202223,Academic year,National,E92000001,England,,,Total,Rural,5 Rural - Village,Pupil residency,State-funded schools (LA),Provisional,2165,28164,1370093.63,48.6,27357,97.1,13943,49.5,19808,70.3,10710,38,120232.92,4.27,5064,18,7095,25.2,26958,2739.655,0.1,0.08,0.12
202223,Academic year,National,E92000001,England,,,Total,Rural,6 Rural - Hamlet and isolated dwellings,Pupil residency,State-funded schools (LA),Provisional,2011,16383,804224.14,49.1,15875,96.9,8219,50.2,11615,70.9,6247,38.1,70613.53,4.31,3019,18.4,4219,25.8,15463,1464.854,0.09,0.07,0.12
202223,Academic year,National,E92000001,England,,,Total,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,2926,96372,4587121.04,47.6,93344,96.9,45662,47.4,66028,68.5,35051,36.4,400737.67,4.16,16242,16.9,22983,23.8,92448,2688.207,0.03,0.02,0.04
202223,Academic year,National,E92000001,England,,,Total,Total,Total,Pupil residency,State-funded schools (LA),Provisional,4046,602650,27926896.83,46.3,580107,96.3,272855,45.3,392459,65.1,237488,39.4,2446630.96,4.06,102363,17,145943,24.2,567902,-14815.328,-0.03,-0.03,-0.02
202223,Academic year,National,E92000001,England,,,Total,Urban,1 Urban - Major conurbation,Pupil residency,State-funded schools (LA),Provisional,1870,222033,10499584.23,47.3,213674,96.2,104899,47.2,146173,65.8,101032,45.5,928094.18,4.18,42715,19.2,60419,27.2,206211,8333.757,0.04,0.03,0.05
202223,Academic year,National,E92000001,England,,,Total,Urban,2 Urban - Minor conurbation,Pupil residency,State-funded schools (LA),Provisional,231,21295,942536.5,44.3,20475,96.1,8834,41.5,13210,62,7376,34.6,81415.04,3.82,2987,14,4466,21,20270,-1992.091,-0.1,-0.12,-0.08
202223,Academic year,National,E92000001,England,,,Total,Urban,3 Urban - City and town,Pupil residency,State-funded schools (LA),Provisional,3254,262950,11897655.06,45.2,252614,96.1,113460,43.1,167048,63.5,94029,35.8,1036384.07,3.94,40419,15.4,58075,22.1,248973,-23845.201,-0.1,-0.1,-0.09
202223,Academic year,National,E92000001,England,,,Total,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,4031,506278,23339775.79,46.1,486763,96.1,227193,44.9,326431,64.5,202437,40,2045893.29,4.04,86121,17,122960,24.3,475454,-17503.535,-0.04,-0.04,-0.03
202223,Academic year,National,E92000001,England,,,Unknown,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1048,6717,312277.75,46.5,6498,96.7,3017,44.9,4437,66.1,2450,36.5,27237.96,4.06,1044,15.5,1496,22.3,6342,-137.315,-0.02,-0.06,0.01
202223,Academic year,National,E92000001,England,,,Unknown,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3005,30940,1438638.13,46.5,29809,96.3,14012,45.3,20136,65.1,12595,40.7,126413.29,4.09,5243,16.9,7554,24.4,28614,610.606,0.02,0,0.04
202223,Academic year,National,E92000001,England,,,Unknown,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,2786,24223,1126360.38,46.5,23311,96.2,10995,45.4,15699,64.8,10145,41.9,99175.33,4.09,4199,17.3,6058,25,22272,747.921,0.03,0.02,0.05
202223,Academic year,Regional,E92000001,England,E12000001,North East,0-10%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,75,560,22463.75,40.1,519,92.7,189,33.8,286,51.1,165,29.5,1893.08,3.38,62,11.1,100,17.9,543,-286.942,-0.53,-0.65,-0.41
202223,Academic year,Regional,E92000001,England,E12000001,North East,0-10%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,189,6971,260930,37.4,6517,93.5,1974,28.3,3368,48.3,2122,30.4,21998.83,3.16,624,9,1015,14.6,6665,-4478.622,-0.67,-0.71,-0.64
202223,Academic year,Regional,E92000001,England,E12000001,North East,0-10%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,183,6411,238466.25,37.2,5998,93.6,1785,27.8,3082,48.1,1957,30.5,20105.75,3.14,562,8.8,915,14.3,6122,-4191.68,-0.68,-0.72,-0.65
202223,Academic year,Regional,E92000001,England,E12000001,North East,10-20%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,72,575,23252.5,40.4,546,95,201,35,326,56.7,159,27.7,1935.31,3.37,55,9.6,98,17,557,-268.809,-0.48,-0.6,-0.37
202223,Academic year,Regional,E92000001,England,E12000001,North East,10-20%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,190,3547,144223.25,40.7,3352,94.5,1222,34.5,1959,55.2,1177,33.2,12266.21,3.46,374,10.5,625,17.6,3397,-1625.471,-0.48,-0.53,-0.43
202223,Academic year,Regional,E92000001,England,E12000001,North East,10-20%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,179,2972,120970.75,40.7,2806,94.4,1021,34.4,1633,54.9,1018,34.3,10330.9,3.48,319,10.7,527,17.7,2840,-1356.662,-0.48,-0.53,-0.43
202223,Academic year,Regional,E92000001,England,E12000001,North East,20-30%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,87,664,28410.25,42.8,625,94.1,244,36.7,384,57.8,204,30.7,2406.15,3.62,83,12.5,130,19.6,652,-181.599,-0.28,-0.39,-0.17
202223,Academic year,Regional,E92000001,England,E12000001,North East,20-30%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,184,2884,122153.5,42.4,2739,95,1062,36.8,1651,57.2,961,33.3,10406.45,3.61,338,11.7,545,18.9,2793,-1046.114,-0.37,-0.43,-0.32
202223,Academic year,Regional,E92000001,England,E12000001,North East,20-30%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,179,2220,93743.25,42.2,2114,95.2,818,36.8,1267,57.1,757,34.1,8000.3,3.6,255,11.5,415,18.7,2141,-864.515,-0.4,-0.46,-0.34
202223,Academic year,Regional,E92000001,England,E12000001,North East,30-40%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,78,461,20533.25,44.5,443,96.1,184,39.9,284,61.6,123,26.7,1717.69,3.73,54,11.7,80,17.4,451,-70.28,-0.16,-0.29,-0.03
202223,Academic year,Regional,E92000001,England,E12000001,North East,30-40%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,174,2301,101607,44.2,2208,96,921,40,1417,61.6,771,33.5,8649.16,3.76,307,13.3,461,20,2248,-568.712,-0.25,-0.31,-0.19
202223,Academic year,Regional,E92000001,England,E12000001,North East,30-40%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,164,1840,81073.75,44.1,1765,95.9,737,40.1,1133,61.6,648,35.2,6931.47,3.77,253,13.8,381,20.7,1797,-498.432,-0.28,-0.34,-0.21
202223,Academic year,Regional,E92000001,England,E12000001,North East,40-50%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,64,371,16629.5,44.8,357,96.2,152,41,233,62.8,97,26.1,1401.88,3.78,39,10.5,59,15.9,358,-27.66,-0.08,-0.22,0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,40-50%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,173,1861,84444,45.4,1795,96.5,789,42.4,1185,63.7,716,38.5,7275.59,3.91,272,14.6,417,22.4,1794,-303.984,-0.17,-0.23,-0.1
202223,Academic year,Regional,E92000001,England,E12000001,North East,40-50%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,154,1490,67814.5,45.5,1438,96.5,637,42.8,952,63.9,619,41.5,5873.71,3.94,233,15.6,358,24,1436,-276.324,-0.19,-0.27,-0.12
202223,Academic year,Regional,E92000001,England,E12000001,North East,50-60%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,70,461,22669,49.2,446,96.7,244,52.9,330,71.6,163,35.4,1963.65,4.26,75,16.3,124,26.9,448,24.376,0.05,-0.08,0.19
202223,Academic year,Regional,E92000001,England,E12000001,North East,50-60%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,165,1738,82518.5,47.5,1687,97.1,826,47.5,1196,68.8,660,38,7138.32,4.11,272,15.7,438,25.2,1697,-160.564,-0.09,-0.16,-0.03
202223,Academic year,Regional,E92000001,England,E12000001,North East,50-60%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,144,1277,59849.5,46.9,1241,97.2,582,45.6,866,67.8,497,38.9,5174.67,4.05,197,15.4,314,24.6,1249,-184.94,-0.15,-0.23,-0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,60-70%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,47,265,13449,50.8,258,97.4,141,53.2,195,73.6,76,28.7,1151.35,4.34,47,17.7,57,21.5,261,28.112,0.11,-0.06,0.28
202223,Academic year,Regional,E92000001,England,E12000001,North East,60-70%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,146,1491,75660,50.7,1453,97.5,811,54.4,1107,74.2,672,45.1,6640.34,4.45,318,21.3,443,29.7,1464,114.652,0.08,0.01,0.15
202223,Academic year,Regional,E92000001,England,E12000001,North East,60-70%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,130,1226,62211,50.7,1195,97.5,670,54.6,912,74.4,596,48.6,5488.99,4.48,271,22.1,386,31.5,1203,86.54,0.07,-0.01,0.15
202223,Academic year,Regional,E92000001,England,E12000001,North East,70-80%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,70,438,21597,49.3,422,96.3,238,54.3,330,75.3,185,42.2,1883.4,4.3,90,20.5,133,30.4,431,9.521,0.02,-0.11,0.16
202223,Academic year,Regional,E92000001,England,E12000001,North East,70-80%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,154,1644,84188.5,51.2,1599,97.3,921,56,1266,77,761,46.3,7411.32,4.51,348,21.2,543,33,1614,119.796,0.07,0.01,0.14
202223,Academic year,Regional,E92000001,England,E12000001,North East,70-80%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,123,1206,62591.5,51.9,1177,97.6,683,56.6,936,77.6,576,47.8,5527.92,4.58,258,21.4,410,34,1183,110.275,0.09,0.01,0.17
202223,Academic year,Regional,E92000001,England,E12000001,North East,80-90%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,73,491,26106.25,53.2,484,98.6,303,61.7,379,77.2,222,45.2,2283.07,4.65,117,23.8,161,32.8,482,35.946,0.07,-0.05,0.2
202223,Academic year,Regional,E92000001,England,E12000001,North East,80-90%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,154,2258,120050,53.2,2213,98,1336,59.2,1800,79.7,1050,46.5,10576.64,4.68,525,23.3,735,32.6,2222,318.288,0.14,0.08,0.2
202223,Academic year,Regional,E92000001,England,E12000001,North East,80-90%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,141,1767,93943.75,53.2,1729,97.8,1033,58.5,1421,80.4,828,46.9,8293.57,4.69,408,23.1,574,32.5,1740,282.342,0.16,0.1,0.23
202223,Academic year,Regional,E92000001,England,E12000001,North East,90-100%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,28,183,10024.25,54.8,178,97.3,111,60.7,147,80.3,85,46.4,891.8,4.87,52,28.4,66,36.1,177,43.758,0.25,0.04,0.46
202223,Academic year,Regional,E92000001,England,E12000001,North East,90-100%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,105,1678,94341.5,56.2,1643,97.9,1085,64.7,1412,84.1,837,49.9,8418.77,5.02,485,28.9,646,38.5,1637,559.677,0.34,0.27,0.41
202223,Academic year,Regional,E92000001,England,E12000001,North East,90-100%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,96,1495,84317.25,56.4,1465,98,974,65.2,1265,84.6,752,50.3,7526.97,5.03,433,29,580,38.8,1460,515.919,0.35,0.28,0.43
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Rural,4 Rural - Town and fringe,Pupil residency,State-funded schools (LA),Provisional,146,3422,153046,44.7,3257,95.2,1468,42.9,2125,62.1,1100,32.1,13045.62,3.81,491,14.3,743,21.7,3339,-715.911,-0.21,-0.26,-0.17
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Rural,5 Rural - Village,Pupil residency,State-funded schools (LA),Provisional,116,876,42613.75,48.6,854,97.5,428,48.9,615,70.2,315,36,3658.51,4.18,154,17.6,211,24.1,852,-17.535,-0.02,-0.12,0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Rural,6 Rural - Hamlet and isolated dwellings,Pupil residency,State-funded schools (LA),Provisional,93,493,24611.5,49.9,478,97,257,52.1,358,72.6,168,34.1,2117.89,4.3,81,16.4,117,23.7,481,13.32,0.03,-0.1,0.15
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,174,4791,220271.25,46,4589,95.8,2153,44.9,3098,64.7,1583,33,18822.02,3.93,726,15.2,1071,22.4,4672,-720.126,-0.15,-0.19,-0.11
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Total,Total,Pupil residency,State-funded schools (LA),Provisional,206,27750,1233398.5,44.4,26528,95.6,11573,41.7,17254,62.2,10251,36.9,106227.61,3.83,4084,14.7,6185,22.3,26855,-7239.928,-0.27,-0.29,-0.25
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Urban,1 Urban - Major conurbation,Pupil residency,State-funded schools (LA),Provisional,120,11611,515626.75,44.4,11088,95.5,4757,41,7157,61.6,4627,39.9,44789.37,3.86,1774,15.3,2668,23,11193,-3447.541,-0.31,-0.33,-0.28
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Urban,3 Urban - City and town,Pupil residency,State-funded schools (LA),Provisional,169,11348,497500.5,43.8,10851,95.6,4663,41.1,6999,61.7,4041,35.6,42616.22,3.76,1584,14,2446,21.6,10990,-3072.261,-0.28,-0.31,-0.25
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,199,22959,1013127.25,44.1,21939,95.6,9420,41,14156,61.7,8668,37.8,87405.59,3.81,3358,14.6,5114,22.3,22183,-6519.802,-0.29,-0.31,-0.28
202223,Academic year,Regional,E92000001,England,E12000001,North East,Unknown,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,52,322,15136.5,47,311,96.6,146,45.3,204,63.4,104,32.3,1294.64,4.02,52,16.1,63,19.6,312,-26.549,-0.09,-0.24,0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,Unknown,Total,Total,Pupil residency,State-funded schools (LA),Provisional,150,1377,63282.25,46,1322,96,626,45.5,893,64.9,524,38.1,5445.98,3.95,221,16,317,23,1324,-168.874,-0.13,-0.2,-0.05
202223,Academic year,Regional,E92000001,England,E12000001,North East,Unknown,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,136,1055,48145.75,45.6,1011,95.8,480,45.5,689,65.3,420,39.8,4151.34,3.93,169,16,254,24.1,1012,-142.325,-0.14,-0.23,-0.05
202223,Academic year,Regional,E92000001,England,E12000002,North West,0-10%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,30,111,3855.75,34.7,106,95.5,27,24.3,45,40.5,20,18,323.53,2.91,9,8.1,11,9.9,108,-114.316,-1.06,-1.32,-0.79
202223,Academic year,Regional,E92000001,England,E12000002,North West,0-10%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,513,16710,617127.13,36.9,15650,93.7,4582,27.4,7743,46.3,5051,30.2,52256.76,3.13,1388,8.3,2284,13.7,15615,-9457.924,-0.61,-0.63,-0.58
202223,Academic year,Regional,E92000001,England,E12000002,North West,0-10%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,511,16599,613271.38,36.9,15544,93.6,4555,27.4,7698,46.4,5031,30.3,51933.23,3.13,1379,8.3,2273,13.7,15507,-9343.608,-0.6,-0.62,-0.58
202223,Academic year,Regional,E92000001,England,E12000002,North West,10-20%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,29,108,3900.5,36.1,102,94.4,29,26.9,47,43.5,42,38.9,336.19,3.11,8,7.4,14,13,108,-77.614,-0.72,-0.99,-0.45
202223,Academic year,Regional,E92000001,England,E12000002,North West,10-20%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,531,11234,450894.88,40.1,10679,95.1,3712,33,5970,53.1,3755,33.4,38625.56,3.44,1158,10.3,1848,16.5,10427,-3754.916,-0.36,-0.39,-0.33
202223,Academic year,Regional,E92000001,England,E12000002,North West,10-20%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,530,11126,446994.38,40.2,10577,95.1,3683,33.1,5923,53.2,3713,33.4,38289.37,3.44,1150,10.3,1834,16.5,10319,-3677.302,-0.36,-0.38,-0.33
202223,Academic year,Regional,E92000001,England,E12000002,North West,20-30%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,57,281,10768.25,38.3,266,94.7,81,28.8,153,54.4,70,24.9,921.23,3.28,14,5,26,9.3,275,-187.566,-0.68,-0.85,-0.52
202223,Academic year,Regional,E92000001,England,E12000002,North West,20-30%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,529,7924,331731.76,41.9,7593,95.8,2822,35.6,4539,57.3,2644,33.4,28479.36,3.59,879,11.1,1340,16.9,7427,-1996.574,-0.27,-0.3,-0.24
202223,Academic year,Regional,E92000001,England,E12000002,North West,20-30%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,519,7643,320963.51,42,7327,95.9,2741,35.9,4386,57.4,2574,33.7,27558.13,3.61,865,11.3,1314,17.2,7152,-1809.008,-0.25,-0.29,-0.22
202223,Academic year,Regional,E92000001,England,E12000002,North West,30-40%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,83,464,19001.25,41,446,96.1,149,32.1,266,57.3,94,20.3,1612.05,3.47,35,7.5,43,9.3,455,-228.965,-0.5,-0.63,-0.37
202223,Academic year,Regional,E92000001,England,E12000002,North West,30-40%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,538,7176,308847.38,43,6916,96.4,2744,38.2,4277,59.6,2634,36.7,26669.14,3.72,889,12.4,1346,18.8,6834,-1873.487,-0.27,-0.31,-0.24
