time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,breakdown,gender,prior_attainment,admission_type,religious_denomination,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_p8eng,avg_p8eng,p8eng_ci_low,p8eng_ci_upp,t_p8mat,avg_p8mat,p8mat_ci_low,p8mat_ci_upp,t_p8ebac,avg_p8ebac,p8ebac_ci_low,p8ebac_ci_upp,t_p8open,avg_p8open,p8open_ci_low,p8open_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass,t_ebaceng_e,pt_ebaceng_e,t_ebacmat_e,pt_ebacmat_e,t_ebac2sci_e,pt_ebac2sci_e,t_ebachum_e,pt_ebachum_e,t_ebaclan_e,pt_ebaclan_e,t_ebaceng_95,pt_ebaceng_95,t_ebacmat_95,pt_ebacmat_95,t_ebac2sci_95,pt_ebac2sci_95,t_ebachum_95,pt_ebachum_95,t_ebaclan_95,pt_ebaclan_95,t_ebaceng_94,pt_ebaceng_94,t_ebacmat_94,pt_ebacmat_94,t_ebac2sci_94,pt_ebac2sci_94,t_ebachum_94,pt_ebachum_94,t_ebaclan_94,pt_ebaclan_94,t_ebptseng_ll,avg_ebptseng_ll,t_ebptsmat,avg_ebptsmat,t_ebptssci,avg_ebptssci,t_ebptshum,avg_ebptshum,t_ebptslan,avg_ebptslan,t_att8_eng,avg_att8_eng,t_att8_mat,avg_att8_mat,t_att8_ebac,avg_att8_ebac,t_att8_open,avg_att8_open,t_att8_open_g,avg_att8_open_g,t_att8_open_ng,avg_att8_open_ng,t_ebac_fill,avg_ebac_fill,t_open_fill,avg_open_fill,t_ebaccsubjent_0,pt_ebaccsubjent_0,t_ebaccsubjent_1,pt_ebaccsubjent_1,t_ebaccsubjent_2,pt_ebaccsubjent_2,t_ebaccsubjent_3,pt_ebaccsubjent_3,t_ebaccsubjent_4,pt_ebaccsubjent_4,t_ent_comb_sci,pt_ent_comb_sci,t_eballsci_ptq_ee,pt_eballsci_ptq_ee,t_triplesci_e,pt_triplesci_e,t_ent_hist_geog,pt_ent_hist_geog,t_multilan_e,pt_multilan_e,t_entered_art,pt_entered_art,t_entered_music_qual,pt_entered_music_qual,t_entered_arts_qual,pt_entered_arts_qual
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Total,Mid prior,Total,Total,2600,240259,11243603.79,46.8,237284,98.8,107107,44.6,173992,72.4,97554,40.6,29037,12.1,51228,21.3,973849.83,4.05,240259,1087.517,0,0,0.01,348.5,0,-0.01,0.01,-71.16,0,-0.01,0.01,-118.564,0,-0.01,0.01,-522.638,0,-0.01,0,238341,99.2,237899,99,234381,97.6,237632,98.9,234357,97.5,208320,86.7,108532,45.2,156569,65.2,124727,51.9,105293,44.9,98342,47.2,47032,43.3,197069,82,189055,78.7,163201,69.6,131692,63.2,67004,61.7,1208723,5.03,1106527,4.61,1077100.33,4.48,907598,3.78,466055.13,1.94,2425061,10.1,2213054,9.2,3212506.26,13.4,3392982.53,14.1,2630723.03,10.9,762259.5,3.2,686592,2.9,688963,2.9,2418,1,1788,0.7,2317,1,15698,6.5,120484,50.1,183542,76.4,50852,21.2,50703,21.1,19854,8.3,5160,2.1,93118,38.8,15498,6.5,117746,49
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Total,Total,Total,Total,Total,2601,470899,22241880.42,47.2,461682,98,217358,46.2,312266,66.3,192694,40.9,82676,17.6,117990,25.1,1952706.02,4.15,442111,4831.529,0.01,0.01,0.02,1750.85,0,0,0.01,1598.865,0,0,0.01,2042.997,0,0,0.01,1278.397,0,0,0.01,465199,98.8,463225,98.4,453975,96.4,462894,98.3,455531,96.7,396571,84.2,217173,46.1,290690,61.7,243800,51.8,216255,47.5,197514,49.8,119213,54.9,358717,76.2,336532,71.5,298606,65.6,246831,62.2,151347,69.7,2358366,5.01,2186736.26,4.64,2152242.61,4.57,1798437,3.82,1068213.4,2.27,4735384,10.1,4373476.52,9.3,6448676.16,13.7,6684343.74,14.2,5369745.99,11.4,1314597.75,2.8,1320222,2.8,1325413,2.8,7151,1.5,4388,0.9,6162,1.3,36054,7.7,224450,47.7,330753,70.2,124843,26.5,124562,26.5,40033,8.5,15175,3.2,184703,39.2,32690,6.9,229869,48.8
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Boys,High prior,Total,Total,5,5,177,35.4,4,80,3,60,3,60,1,20,1,20,1,20,15.16,3.03,5,-14.453,-2.89,-4.13,-1.65,-12.35,-2.47,-3.9,-1.04,-12.475,-2.5,-3.8,-1.19,-15.534,-3.11,-4.54,-1.68,-16.087,-3.22,-4.64,-1.8,4,80,4,80,3,60,4,80,3,60,2,40,2,40,3,60,3,60,2,66.7,2,100,1,50,3,60,3,60,2,66.7,2,100,2,100,17,3.4,20,4,15.5,3.1,13,2.6,10,2,41,8.2,40,8,50,10,46,9.2,32,6.4,14,2.8,10,2,9,1.8,1,20,0,0,1,20,1,20,1,20,2,40,1,20,1,20,0,0,0,0,0,0,0,0,1,20
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Boys,Low prior,Total,Total,45,160,629.5,3.9,25,15.6,1,0.6,3,1.9,0,0,0,0,0,0,40.67,0.25,160,-249.573,-1.56,-1.78,-1.34,-317.555,-1.98,-2.24,-1.73,-156.48,-0.98,-1.21,-0.75,-223.599,-1.4,-1.65,-1.14,-292.626,-1.83,-2.08,-1.58,56,35,52,32.5,11,6.9,40,25,21,13.1,7,4.4,0,0,0,0,5,3.1,1,4.8,0,0,0,z,4,2.5,6,3.8,2,9.5,1,14.3,0,z,34,0.21,93,0.58,50,0.31,17,0.11,0,0,109,0.7,186,1.2,152,1,182.5,1.1,175,1.1,7.5,0,56,0.4,52,0.3,120,75,16,10,13,8.1,7,4.4,4,2.5,19,11.9,2,1.3,2,1.3,0,0,0,0,23,14.4,4,2.5,24,15
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Boys,Mid prior,Total,Total,17,34,551.25,16.2,14,41.2,4,11.8,6,17.6,0,0,0,0,0,0,41.69,1.23,34,-98.206,-2.89,-3.36,-2.41,-108.76,-3.2,-3.75,-2.65,-65.395,-1.92,-2.42,-1.42,-92.033,-2.71,-3.26,-2.16,-119.211,-3.51,-4.05,-2.96,28,82.4,28,82.4,7,20.6,20,58.8,14,41.2,3,8.8,1,2.9,2,5.9,9,26.5,6,42.9,2,66.7,1,100,3,8.8,14,41.2,10,71.4,2,66.7,1,100,30,0.88,85,2.5,56.5,1.66,14,0.41,8,0.24,115,3.4,170,5,159,4.7,107.25,3.2,90,2.6,17.25,0.5,36,1.1,28,0.8,13,38.2,5,14.7,11,32.4,2,5.9,3,8.8,12,35.3,2,5.9,2,5.9,0,0,1,2.9,7,20.6,1,2.9,9,26.5
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Total,Boys,Total,Total,Total,1032,27596,846686.19,30.7,6777,24.6,4140,15,5217,18.9,1887,6.8,1065,3.9,1374,5,65537.69,2.37,199,-362.232,-1.82,-2.02,-1.62,-438.665,-2.2,-2.43,-1.98,-234.35,-1.18,-1.38,-0.97,-331.166,-1.66,-1.89,-1.44,-427.924,-2.15,-2.38,-1.93,25533,92.5,25419,92.1,8664,31.4,8444,30.6,12087,43.8,11253,40.8,11542,41.8,7567,27.4,5688,20.6,9148,75.7,9161,81.4,9111,78.9,8253,29.9,6897,25,10784,89.2,10140,90.1,10206,88.4,54997.5,1.99,46336.51,1.68,73358.38,2.66,70772,2.56,74408.63,2.7,132382,4.8,92673.02,3.4,328822.38,11.9,292808.79,10.6,281978.27,10.2,10830.52,0.4,51107,1.9,48528,1.8,5236,19,7376,26.7,6578,23.8,4053,14.7,2466,8.9,6348,23,5741,20.8,5547,20.1,1537,5.6,2259,8.2,8097,29.3,2318,8.4,8473,30.7
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Girls,High prior,Total,Total,3,4,106,26.5,2,50,1,25,1,25,1,25,1,25,1,25,10.16,2.54,4,-16.603,-4.15,-5.54,-2.77,-16.56,-4.14,-5.74,-2.54,-17.555,-4.39,-5.85,-2.93,-15.73,-3.93,-5.53,-2.33,-16.87,-4.22,-5.81,-2.63,2,50,2,50,2,50,2,50,2,50,2,50,1,25,1,25,1,25,1,50,1,50,1,100,2,50,1,25,1,50,1,50,1,100,11,2.75,10,2.5,12,3,8,2,8,2,22,5.5,20,5,35,8.8,29,7.3,29,7.3,0,0,6,1.5,5,1.3,2,50,0,0,0,0,0,0,1,25,1,25,1,25,1,25,0,0,0,0,0,0,0,0,0,0
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Girls,Low prior,Total,Total,32,63,261,4.1,9,14.3,0,0,4,6.3,0,0,0,0,0,0,15,0.24,63,-88.625,-1.41,-1.76,-1.06,-114.67,-1.82,-2.22,-1.42,-61.805,-0.98,-1.35,-0.61,-81.114,-1.29,-1.69,-0.88,-96.8,-1.54,-1.94,-1.14,20,31.7,20,31.7,3,4.8,11,17.5,8,12.7,2,3.2,0,0,0,0,1,1.6,0,0,0,0,0,z,1,1.6,4,6.3,2,25,0,0,0,z,9,0.14,27,0.43,24,0.38,6,0.1,0,0,45,0.7,54,0.9,59,0.9,103,1.6,88,1.4,15,0.2,21,0.3,25,0.4,50,79.4,5,7.9,5,7.9,3,4.8,0,0,8,12.7,0,0,0,0,0,0,0,0,13,20.6,0,0,13,20.6
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Girls,Mid prior,Total,Total,6,14,422,30.1,9,64.3,2,14.3,7,50,3,21.4,0,0,2,14.3,35.32,2.52,14,-20.759,-1.48,-2.22,-0.74,-26.8,-1.91,-2.77,-1.06,-14.8,-1.06,-1.84,-0.28,-20.336,-1.45,-2.31,-0.6,-21.134,-1.51,-2.36,-0.66,11,78.6,11,78.6,8,57.1,11,78.6,9,64.3,7,50,4,28.6,4,28.6,4,28.6,3,33.3,0,0,4,100,8,57.1,9,64.3,5,55.6,4,57.1,4,100,40,2.86,47,3.36,39,2.79,24,1.71,23,1.64,83,5.9,94,6.7,117.5,8.4,127.5,9.1,104,7.4,23.5,1.7,27,1.9,26,1.9,3,21.4,2,14.3,1,7.1,0,0,5,35.7,7,50,2,14.3,2,14.3,0,0,0,0,9,64.3,0,0,9,64.3
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Total,Girls,Total,Total,Total,1024,25462,971968.56,38.2,7358,28.9,5146,20.2,6371,25,2496,9.8,1615,6.3,2055,8.1,75745.64,2.97,81,-125.987,-1.56,-1.86,-1.25,-158.03,-1.95,-2.31,-1.59,-94.16,-1.16,-1.49,-0.84,-117.18,-1.45,-1.8,-1.09,-134.804,-1.66,-2.02,-1.31,24283,95.4,24240,95.2,10260,40.3,8847,34.7,12927,50.8,11367,44.6,13216,51.9,9602,37.7,6475,25.4,10449,80.8,9919,87.3,11272,85.3,10085,39.6,7814,30.7,11952,92.5,10645,93.6,12285,93,71010,2.79,50733.75,1.99,82691,3.25,77305,3.04,90056.75,3.54,161378,6.3,101467.5,4,348723.75,13.7,360399.31,14.2,351137.52,13.8,9261.79,0.4,51449,2,53633,2.1,3581,14.1,5947,23.4,5627,22.1,4308,16.9,3503,13.8,6850,26.9,6077,23.9,6040,23.7,1245,4.9,2734,10.7,13486,53,2491,9.8,13811,54.2
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Total,High prior,Total,Total,7,9,283,31.4,6,66.7,4,44.4,4,44.4,2,22.2,2,22.2,2,22.2,25.32,2.81,9,-31.056,-3.45,-4.37,-2.53,-28.91,-3.21,-4.28,-2.14,-30.03,-3.34,-4.31,-2.36,-31.264,-3.47,-4.54,-2.41,-32.957,-3.66,-4.72,-2.6,6,66.7,6,66.7,5,55.6,6,66.7,5,55.6,4,44.4,3,33.3,4,44.4,4,44.4,3,60,3,75,2,66.7,5,55.6,4,44.4,3,60,3,75,3,100,28,3.11,30,3.33,27.5,3.06,21,2.33,18,2,63,7,60,6.7,85,9.4,75,8.3,61,6.8,14,1.6,16,1.8,14,1.6,3,33.3,0,0,1,11.1,1,11.1,2,22.2,3,33.3,2,22.2,2,22.2,0,0,0,0,0,0,0,0,1,11.1
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Total,Low prior,Total,Total,49,223,890.5,4,34,15.2,1,0.4,7,3.1,0,0,0,0,0,0,55.67,0.25,223,-338.198,-1.52,-1.7,-1.33,-432.225,-1.94,-2.15,-1.72,-218.285,-0.98,-1.17,-0.78,-304.713,-1.37,-1.58,-1.15,-389.426,-1.75,-1.96,-1.53,76,34.1,72,32.3,14,6.3,51,22.9,29,13,9,4,0,0,0,0,6,2.7,1,3.4,0,0,0,z,5,2.2,10,4.5,4,13.8,1,11.1,0,z,43,0.19,120,0.54,74,0.33,23,0.1,0,0,154,0.7,240,1.1,211,0.9,285.5,1.3,263,1.2,22.5,0.1,77,0.3,77,0.3,170,76.2,21,9.4,18,8.1,10,4.5,4,1.8,27,12.1,2,0.9,2,0.9,0,0,0,0,36,16.1,4,1.8,37,16.6
202223,Academic year,National,E92000001,England,Provisional,All independent schools,Prior attainment,Total,Mid prior,Total,Total,18,48,973.25,20.3,23,47.9,6,12.5,13,27.1,3,6.3,0,0,2,4.2,77.01,1.6,48,-118.965,-2.48,-2.88,-2.08,-135.56,-2.82,-3.29,-2.36,-80.195,-1.67,-2.09,-1.25,-112.369,-2.34,-2.8,-1.88,-140.345,-2.92,-3.38,-2.47,39,81.3,39,81.3,15,31.3,31,64.6,23,47.9,10,20.8,5,10.4,6,12.5,13,27.1,9,39.1,2,20,5,100,11,22.9,23,47.9,15,65.2,6,60,5,100,70,1.46,132,2.75,95.5,1.99,38,0.79,31,0.65,198,4.1,264,5.5,276.5,5.8,234.75,4.9,194,4,40.75,0.8,63,1.3,54,1.1,16,33.3,7,14.6,12,25,2,4.2,8,16.7,19,39.6,4,8.3,4,8.3,0,0,1,2.1,16,33.3,1,2.1,18,37.5
